feedback_id,alert_id,meter_id,inspector_id,feedback_timestamp,feedback_type,feedback_reason_code,confidence_level,narrative,resolution_date,follow_up_required,follow_up_date
FBK-000069,ALT-000420,BSCM-000230,INS-0016,2023-01-15 12:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 564.64.,2023-01-15,True,2023-02-14
FBK-000070,ALT-000345,BSCM-000255,INS-0019,2023-11-09 06:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 310.81.,2023-11-09,False,
FBK-000071,ALT-000102,BSCM-000428,INS-024,2024-05-20 19:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 540.44.,2024-05-20,False,
FBK-000072,ALT-000542,BSCM-000162,INS-0003,2023-04-28 17:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 350.09.,2023-04-28,True,2023-05-28
FBK-000073,ALT-001068,BSCM-000341,INS-0020,2023-12-01 02:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 113.05.,2023-12-01,False,
FBK-000074,ALT-001025,BSCM-000257,INS-0017,2023-04-29 13:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 147.87.,2023-04-29,False,
FBK-000075,ALT-002062,BSCM-000045,INS-0014,2024-11-02 15:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 181.34.,2024-11-02,True,2024-12-02
FBK-000076,ALT-000197,BSCM-000106,INS-0007,2024-12-08 00:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 95.67.,2024-12-08,False,
FBK-000077,ALT-001447,BSCM-000028,INS-0007,2024-01-19 06:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 138.48.,2024-01-19,False,
FBK-000078,ALT-000163,BSCM-000001,INS-0002,2023-10-01 16:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 170.44.,2023-10-01,True,2023-10-31
FBK-000079,ALT-002460,BSCM-000130,INS-032,2023-01-15 02:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 415.65.,2023-01-15,False,
FBK-000080,ALT-002881,BSCM-000029,INS-033,2024-07-26 22:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 473.10.,2024-07-26,False,
FBK-000081,ALT-003403,BSCM-000458,INS-0009,2023-02-04 05:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 444.47.,2023-02-04,True,2023-03-06
FBK-000082,ALT-003291,BSCM-000199,INS-035,2024-08-19 19:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 217.47.,2024-08-19,False,
FBK-000083,ALT-001810,BSCM-000100,INS-036,2024-05-15 21:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 396.90.,2024-05-15,False,
FBK-000084,ALT-002551,BSCM-000454,INS-037,2023-05-12 19:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 208.12.,2023-05-12,True,2023-06-11
FBK-000085,ALT-003404,BSCM-000204,INS-038,2023-12-30 11:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 483.18.,2023-12-30,False,
FBK-000086,ALT-003355,BSCM-000118,INS-0008,2023-05-15 11:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 200.27.,2023-05-15,False,
FBK-000087,ALT-003251,BSCM-000240,INS-0020,2023-03-08 18:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 3337.20.,2023-03-08,True,2023-04-07
FBK-000088,ALT-002527,BSCM-000405,INS-0008,2024-07-28 04:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 456.71.,2024-07-28,False,
FBK-000089,ALT-002198,BSCM-000058,INS-0016,2023-07-15 13:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 127.68.,2023-07-15,False,
FBK-000090,ALT-001881,BSCM-000045,INS-0003,2023-11-22 19:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 265.89.,2023-11-22,True,2023-12-22
FBK-000091,ALT-002049,BSCM-000445,INS-0006,2023-12-06 02:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 353.20.,2023-12-06,False,
FBK-000092,ALT-000430,BSCM-000267,INS-0016,2024-01-04 16:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 413.46.,2024-01-04,False,
FBK-000093,ALT-001327,BSCM-000425,INS-046,2024-10-25 20:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 408.89.,2024-10-25,True,2024-11-24
FBK-000094,ALT-001037,BSCM-000173,INS-047,2024-12-26 02:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 302.89.,2024-12-26,False,
FBK-000095,ALT-001204,BSCM-000354,INS-048,2024-01-07 18:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 3563.76.,2024-01-07,False,
FBK-000096,ALT-000565,BSCM-000288,INS-0006,2024-08-10 00:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 499.00.,2024-08-10,True,2024-09-09
FBK-000097,ALT-003202,BSCM-000277,INS-0009,2023-03-19 09:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 152.58.,2023-03-19,False,
FBK-000098,ALT-000377,BSCM-000109,INS-0007,2023-07-12 17:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 474.06.,2023-07-12,False,
FBK-000099,ALT-000975,BSCM-000077,INS-0010,2023-06-11 03:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 472.19.,2023-06-11,True,2023-07-11
FBK-000100,ALT-001663,BSCM-000120,INS-0005,2023-02-03 08:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 310.00.,2023-02-03,False,
FBK-000101,ALT-002159,BSCM-000155,INS-0015,2023-04-18 15:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 421.11.,2023-04-18,False,
FBK-000102,ALT-003398,BSCM-000385,INS-0013,2024-11-21 12:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 466.66.,2024-11-21,True,2024-12-21
FBK-000103,ALT-001672,BSCM-000015,INS-008,2024-11-02 07:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 92.25.,2024-11-02,False,
FBK-000104,ALT-001785,BSCM-000011,INS-0011,2023-04-25 01:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 496.24.,2023-04-25,False,
FBK-000105,ALT-002958,BSCM-000250,INS-0020,2023-06-15 11:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 141.36.,2023-06-15,True,2023-07-15
FBK-000106,ALT-001653,BSCM-000165,INS-011,2024-04-26 21:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 1298.00.,2024-04-26,False,
FBK-000107,ALT-002547,BSCM-000018,INS-0009,2024-05-15 22:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 527.18.,2024-05-15,False,
FBK-000108,ALT-003478,BSCM-000304,INS-0001,2023-04-16 04:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 132.27.,2023-04-16,True,2023-05-16
FBK-000109,ALT-002067,BSCM-000303,INS-014,2024-05-06 03:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 210.20.,2024-05-06,False,
FBK-000110,ALT-001512,BSCM-000091,INS-0019,2023-08-15 18:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 462.16.,2023-08-15,False,
FBK-000111,ALT-001046,BSCM-000153,INS-0004,2024-06-03 07:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 204.10.,2024-06-03,True,2024-07-03
FBK-000112,ALT-000073,BSCM-000189,INS-0018,2024-02-08 12:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 162.98.,2024-02-08,False,
FBK-000113,ALT-002742,BSCM-000394,INS-018,2024-09-12 19:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 269.51.,2024-09-12,False,
FBK-000114,ALT-000734,BSCM-000354,INS-0004,2024-06-19 16:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 181.31.,2024-06-19,True,2024-07-19
FBK-000115,ALT-001998,BSCM-000469,INS-020,2023-05-17 03:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 80.59.,2023-05-17,False,
FBK-000116,ALT-000999,BSCM-000293,INS-0012,2024-12-31 22:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 105.85.,2024-12-31,False,
FBK-000117,ALT-000793,BSCM-000338,INS-0012,2024-04-28 02:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 3438.64.,2024-04-28,True,2024-05-28
FBK-000118,ALT-001385,BSCM-000076,INS-0020,2023-09-05 02:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 241.75.,2023-09-05,False,
FBK-000119,ALT-000774,BSCM-000019,INS-0018,2024-03-16 03:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 468.84.,2024-03-16,False,
FBK-000120,ALT-002274,BSCM-000310,INS-0016,2023-05-12 18:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 455.21.,2023-05-12,True,2023-06-11
FBK-000121,ALT-001553,BSCM-000300,INS-026,2024-11-30 11:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 175.37.,2024-11-30,False,
FBK-000122,ALT-000069,BSCM-000483,INS-027,2023-01-22 06:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 459.52.,2023-01-22,False,
FBK-000123,ALT-003196,BSCM-000450,INS-0019,2023-07-12 04:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 429.79.,2023-07-12,True,2023-08-11
FBK-000124,ALT-003500,BSCM-000350,INS-0020,2023-06-24 16:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 423.96.,2023-06-24,False,
FBK-000125,ALT-002624,BSCM-000114,INS-0005,2023-06-20 20:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 460.22.,2023-06-20,False,
